{'timestamp': 1546764049.854071, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=2.01, load10=3.93, load15=4.88, running=1, procs=521), 'memory/total': Memory(label='total', total=1501952, used=584144, buffer_cache=148876, free=768932, map=41060)}
{'timestamp': 1546764051.273388, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=4.22, load10=7.01, load15=6.85, running=1, procs=520), 'memory/total': Memory(label='total', total=1501952, used=523416, buffer_cache=71248, free=907288, map=44824)}
{'disk/total': Disk(label='sda', io_read=553, bytes_read=3383296, time_spent_read=10.615999999999985, io_write=12, bytes_write=4272128, time_spent_write=3.047999999995227), 'net/total': Network(label='ens33', recv_bytes=18322, recv_packets=39, recv_errs=0, recv_drop=0, send_bytes=6675, send_packets=37, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=2.636916835699797, nice=0.0, system=3.2454361054766734, idle=9.330628803245435, iowait=84.78701825557809, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=2.636916835699797, nice=0.0, system=3.2454361054766734, idle=9.330628803245435, iowait=84.78701825557809, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=553, bytes_read=3383296, time_spent_read=10.615999999999985, io_write=12, bytes_write=4272128, time_spent_write=3.047999999995227), 'timestamp': 1546764081.30521, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.27, load10=6.48, load15=6.68, running=1, procs=528), 'memory/total': Memory(label='total', total=1501952, used=529664, buffer_cache=118632, free=853656, map=44944), 'net/ens33': Network(label='ens33', recv_bytes=18322, recv_packets=39, recv_errs=0, recv_drop=0, send_bytes=6675, send_packets=37, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=36, bytes_read=774144, time_spent_read=0.9480000000003201, io_write=2, bytes_write=348160, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=5248, recv_packets=41, recv_errs=0, recv_drop=0, send_bytes=11032, send_packets=43, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.30379746835443, nice=0.0, system=5.69620253164557, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.30379746835443, nice=0.0, system=5.69620253164557, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=36, bytes_read=774144, time_spent_read=0.9480000000003201, io_write=2, bytes_write=348160, time_spent_write=0.0), 'timestamp': 1546764084.884746, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=2.42, load10=3.77, load15=4.79, running=14, procs=696), 'memory/total': Memory(label='total', total=1501952, used=968768, buffer_cache=252264, free=280920, map=58256), 'net/ens33': Network(label='ens33', recv_bytes=5248, recv_packets=41, recv_errs=0, recv_drop=0, send_bytes=11032, send_packets=43, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=687, bytes_read=5775360, time_spent_read=8.743999999998778, io_write=13, bytes_write=6422528, time_spent_write=3.724000000001979), 'net/total': Network(label='ens33', recv_bytes=2668, recv_packets=19, recv_errs=0, recv_drop=0, send_bytes=5336, send_packets=26, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=4.6938775510204085, nice=0.0, system=3.4693877551020407, idle=0.0, iowait=91.63265306122449, irq=0.0, softirq=0.20408163265306123), 'cpu/cpu0': CPU(label='cpu0', user=4.6938775510204085, nice=0.0, system=3.4693877551020407, idle=0.0, iowait=91.63265306122449, irq=0.0, softirq=0.20408163265306123), 'disk/sda': Disk(label='sda', io_read=687, bytes_read=5775360, time_spent_read=8.743999999998778, io_write=13, bytes_write=6422528, time_spent_write=3.724000000001979), 'timestamp': 1546764086.311914, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.17, load10=6.41, load15=6.66, running=2, procs=532), 'memory/total': Memory(label='total', total=1501952, used=535628, buffer_cache=118744, free=847580, map=45036), 'net/ens33': Network(label='ens33', recv_bytes=2668, recv_packets=19, recv_errs=0, recv_drop=0, send_bytes=5336, send_packets=26, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=167936, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=6185, recv_packets=50, recv_errs=0, recv_drop=0, send_bytes=11218, send_packets=52, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.80838323353294, nice=0.0, system=4.191616766467066, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=95.80838323353294, nice=0.0, system=4.191616766467066, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=167936, time_spent_write=0.004000000000814907), 'timestamp': 1546764089.863766, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=3.35, load10=3.94, load15=4.84, running=18, procs=704), 'memory/total': Memory(label='total', total=1501952, used=1045100, buffer_cache=247244, free=209608, map=58304), 'net/ens33': Network(label='ens33', recv_bytes=6185, recv_packets=50, recv_errs=0, recv_drop=0, send_bytes=11218, send_packets=52, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=1298, bytes_read=9879552, time_spent_read=5.372000000001208, io_write=99, bytes_write=35778560, time_spent_write=7.3840000000054715), 'net/total': Network(label='ens33', recv_bytes=868, recv_packets=12, recv_errs=0, recv_drop=0, send_bytes=2560, send_packets=14, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.6160164271047228, nice=0.0, system=2.6694045174537986, idle=0.0, iowait=96.30390143737166, irq=0.0, softirq=0.4106776180698152), 'cpu/cpu0': CPU(label='cpu0', user=0.6160164271047228, nice=0.0, system=2.6694045174537986, idle=0.0, iowait=96.30390143737166, irq=0.0, softirq=0.4106776180698152), 'disk/sda': Disk(label='sda', io_read=1298, bytes_read=9879552, time_spent_read=5.372000000001208, io_write=99, bytes_write=35778560, time_spent_write=7.3840000000054715), 'timestamp': 1546764091.322725, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.0, load10=6.32, load15=6.63, running=1, procs=532), 'memory/total': Memory(label='total', total=1501952, used=545184, buffer_cache=117728, free=839040, map=45056), 'net/ens33': Network(label='ens33', recv_bytes=868, recv_packets=12, recv_errs=0, recv_drop=0, send_bytes=2560, send_packets=14, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=5, bytes_read=155648, time_spent_read=0.1000000000003638, io_write=2, bytes_write=94208, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=8353, recv_packets=55, recv_errs=0, recv_drop=0, send_bytes=13192, send_packets=62, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.36290322580645, nice=0.0, system=4.637096774193548, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=95.36290322580645, nice=0.0, system=4.637096774193548, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=5, bytes_read=155648, time_spent_read=0.1000000000003638, io_write=2, bytes_write=94208, time_spent_write=0.0), 'timestamp': 1546764094.881586, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=4.12, load10=4.09, load15=4.89, running=14, procs=725), 'memory/total': Memory(label='total', total=1501952, used=1120912, buffer_cache=243740, free=137300, map=58308), 'net/ens33': Network(label='ens33', recv_bytes=8353, recv_packets=55, recv_errs=0, recv_drop=0, send_bytes=13192, send_packets=62, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=1016, bytes_read=6049792, time_spent_read=5.368000000000393, io_write=7, bytes_write=188416, time_spent_write=0.45600000000558794), 'net/total': Network(label='ens33', recv_bytes=670, recv_packets=9, recv_errs=0, recv_drop=0, send_bytes=2332, send_packets=11, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.411522633744856, nice=0.0, system=1.2345679012345678, idle=0.0, iowait=98.35390946502058, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.411522633744856, nice=0.0, system=1.2345679012345678, idle=0.0, iowait=98.35390946502058, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=1016, bytes_read=6049792, time_spent_read=5.368000000000393, io_write=7, bytes_write=188416, time_spent_write=0.45600000000558794), 'timestamp': 1546764096.379647, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=2.84, load10=6.23, load15=6.6, running=1, procs=532), 'memory/total': Memory(label='total', total=1501952, used=551328, buffer_cache=112576, free=838048, map=45056), 'net/ens33': Network(label='ens33', recv_bytes=670, recv_packets=9, recv_errs=0, recv_drop=0, send_bytes=2332, send_packets=11, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=32, bytes_read=11554816, time_spent_read=0.8559999999997672, io_write=14, bytes_write=335872, time_spent_write=0.012000000002444722), 'net/total': Network(label='ens33', recv_bytes=24915, recv_packets=202, recv_errs=0, recv_drop=0, send_bytes=4215915, send_packets=2200, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.2, nice=0.0, system=5.6, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'cpu/cpu0': CPU(label='cpu0', user=94.2, nice=0.0, system=5.6, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'disk/sda': Disk(label='sda', io_read=32, bytes_read=11554816, time_spent_read=0.8559999999997672, io_write=14, bytes_write=335872, time_spent_write=0.012000000002444722), 'timestamp': 1546764099.902431, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=5.15, load10=4.31, load15=4.95, running=18, procs=761), 'memory/total': Memory(label='total', total=1501952, used=1172104, buffer_cache=251780, free=78068, map=58308), 'net/ens33': Network(label='ens33', recv_bytes=24915, recv_packets=202, recv_errs=0, recv_drop=0, send_bytes=4215915, send_packets=2200, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=860, bytes_read=6025216, time_spent_read=5.511999999998807, io_write=0, bytes_write=0, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=4995686, recv_packets=3432, recv_errs=0, recv_drop=0, send_bytes=21006, send_packets=251, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.40899795501022496, nice=0.0, system=2.8629856850715747, idle=0.0, iowait=96.52351738241309, irq=0.0, softirq=0.20449897750511248), 'cpu/cpu0': CPU(label='cpu0', user=0.40899795501022496, nice=0.0, system=2.8629856850715747, idle=0.0, iowait=96.52351738241309, irq=0.0, softirq=0.20449897750511248), 'disk/sda': Disk(label='sda', io_read=860, bytes_read=6025216, time_spent_read=5.511999999998807, io_write=0, bytes_write=0, time_spent_write=0.0), 'timestamp': 1546764101.412222, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=2.77, load10=6.16, load15=6.57, running=1, procs=539), 'memory/total': Memory(label='total', total=1501952, used=557608, buffer_cache=112160, free=832184, map=45056), 'net/ens33': Network(label='ens33', recv_bytes=4995686, recv_packets=3432, recv_errs=0, recv_drop=0, send_bytes=21006, send_packets=251, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=82, bytes_read=4300800, time_spent_read=1.6199999999989814, io_write=80, bytes_write=827392, time_spent_write=0.21600000000034925), 'net/total': Network(label='ens33', recv_bytes=49376, recv_packets=571, recv_errs=0, recv_drop=0, send_bytes=14584109, send_packets=7745, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=89.23395445134575, nice=0.0, system=9.937888198757763, idle=0.0, iowait=0.0, irq=0.0, softirq=0.8281573498964804), 'cpu/cpu0': CPU(label='cpu0', user=89.23395445134575, nice=0.0, system=9.937888198757763, idle=0.0, iowait=0.0, irq=0.0, softirq=0.8281573498964804), 'disk/sda': Disk(label='sda', io_read=82, bytes_read=4300800, time_spent_read=1.6199999999989814, io_write=80, bytes_write=827392, time_spent_write=0.21600000000034925), 'timestamp': 1546764104.915562, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=6.74, load10=4.65, load15=5.06, running=13, procs=711), 'memory/total': Memory(label='total', total=1501952, used=993720, buffer_cache=260972, free=247260, map=58264), 'net/ens33': Network(label='ens33', recv_bytes=49376, recv_packets=571, recv_errs=0, recv_drop=0, send_bytes=14584109, send_packets=7745, send_errs=0, send_drop=0)}
