{'timestamp': 1546766514.176002, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.3, load10=8.57, load15=11.22, running=1, procs=519), 'memory/total': Memory(label='total', total=1501952, used=565652, buffer_cache=122872, free=813428, map=46784)}
{'timestamp': 1546766514.565134, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.25, load10=6.43, load15=7.95, running=1, procs=519), 'memory/total': Memory(label='total', total=1501952, used=537024, buffer_cache=133840, free=831088, map=49732)}
{'disk/total': Disk(label='sda', io_read=180, bytes_read=933888, time_spent_read=3.4279999999998836, io_write=32, bytes_write=5382144, time_spent_write=0.01999999998952262), 'net/total': Network(label='ens33', recv_bytes=106383, recv_packets=100, recv_errs=0, recv_drop=0, send_bytes=6534, send_packets=45, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.6161616161616161, nice=0.0, system=1.6161616161616161, idle=63.23232323232323, iowait=33.333333333333336, irq=0.0, softirq=0.20202020202020202), 'cpu/cpu0': CPU(label='cpu0', user=1.6161616161616161, nice=0.0, system=1.6161616161616161, idle=63.23232323232323, iowait=33.333333333333336, irq=0.0, softirq=0.20202020202020202), 'disk/sda': Disk(label='sda', io_read=180, bytes_read=933888, time_spent_read=3.4279999999998836, io_write=32, bytes_write=5382144, time_spent_write=0.01999999998952262), 'timestamp': 1546766544.594203, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.1, load10=5.89, load15=7.72, running=2, procs=522), 'memory/total': Memory(label='total', total=1501952, used=544964, buffer_cache=174944, free=782044, map=49856), 'net/ens33': Network(label='ens33', recv_bytes=106383, recv_packets=100, recv_errs=0, recv_drop=0, send_bytes=6534, send_packets=45, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=22, bytes_read=344064, time_spent_read=0.47999999999956344, io_write=2, bytes_write=307200, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=8507, recv_packets=55, recv_errs=0, recv_drop=0, send_bytes=27867, send_packets=62, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.2, nice=0.0, system=6.8, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.2, nice=0.0, system=6.8, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=22, bytes_read=344064, time_spent_read=0.47999999999956344, io_write=2, bytes_write=307200, time_spent_write=0.0), 'timestamp': 1546766549.185967, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.58, load10=7.82, load15=10.87, running=14, procs=698), 'memory/total': Memory(label='total', total=1501952, used=972120, buffer_cache=219740, free=310092, map=61660), 'net/ens33': Network(label='ens33', recv_bytes=8507, recv_packets=55, recv_errs=0, recv_drop=0, send_bytes=27867, send_packets=62, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=817, bytes_read=14585856, time_spent_read=8.675999999999476, io_write=12, bytes_write=5337088, time_spent_write=3.087999999988824), 'net/total': Network(label='ens33', recv_bytes=13365, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=7207, send_packets=42, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=7.566462167689162, nice=0.0, system=4.294478527607362, idle=0.0, iowait=87.93456032719837, irq=0.0, softirq=0.20449897750511248), 'cpu/cpu0': CPU(label='cpu0', user=7.566462167689162, nice=0.0, system=4.294478527607362, idle=0.0, iowait=87.93456032719837, irq=0.0, softirq=0.20449897750511248), 'disk/sda': Disk(label='sda', io_read=817, bytes_read=14585856, time_spent_read=8.675999999999476, io_write=12, bytes_write=5337088, time_spent_write=3.087999999988824), 'timestamp': 1546766549.587291, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.17, load10=5.83, load15=7.69, running=2, procs=531), 'memory/total': Memory(label='total', total=1501952, used=552028, buffer_cache=236052, free=713872, map=49856), 'net/ens33': Network(label='ens33', recv_bytes=13365, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=7207, send_packets=42, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=176128, time_spent_write=0.0040000000153668225), 'net/total': Network(label='ens33', recv_bytes=7863, recv_packets=56, recv_errs=0, recv_drop=0, send_bytes=15379, send_packets=63, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.6, nice=0.0, system=4.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=95.6, nice=0.0, system=4.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=176128, time_spent_write=0.0040000000153668225), 'timestamp': 1546766554.178257, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=2.41, load10=7.89, load15=10.87, running=16, procs=708), 'memory/total': Memory(label='total', total=1501952, used=1073368, buffer_cache=214764, free=213820, map=61680), 'net/ens33': Network(label='ens33', recv_bytes=7863, recv_packets=56, recv_errs=0, recv_drop=0, send_bytes=15379, send_packets=63, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=617, bytes_read=7651328, time_spent_read=8.66400000000067, io_write=12, bytes_write=5701632, time_spent_write=3.180000000022119), 'net/total': Network(label='ens33', recv_bytes=2193, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=5305, send_packets=22, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=60.0, nice=0.0, system=11.717171717171718, idle=0.0, iowait=28.282828282828284, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=60.0, nice=0.0, system=11.717171717171718, idle=0.0, iowait=28.282828282828284, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=617, bytes_read=7651328, time_spent_read=8.66400000000067, io_write=12, bytes_write=5701632, time_spent_write=3.180000000022119), 'timestamp': 1546766554.589311, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=2.36, load10=6.0, load15=7.73, running=18, procs=641), 'memory/total': Memory(label='total', total=1501952, used=754888, buffer_cache=238852, free=508212, map=65792), 'net/ens33': Network(label='ens33', recv_bytes=2193, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=5305, send_packets=22, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=17, bytes_read=245760, time_spent_read=0.6080000000001746, io_write=3, bytes_write=188416, time_spent_write=0.023999999975785613), 'net/total': Network(label='ens33', recv_bytes=10479, recv_packets=72, recv_errs=0, recv_drop=0, send_bytes=56401, send_packets=102, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.41317365269461, nice=0.0, system=6.586826347305389, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.41317365269461, nice=0.0, system=6.586826347305389, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=17, bytes_read=245760, time_spent_read=0.6080000000001746, io_write=3, bytes_write=188416, time_spent_write=0.023999999975785613), 'timestamp': 1546766559.174898, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.1, load10=7.94, load15=10.87, running=17, procs=721), 'memory/total': Memory(label='total', total=1501952, used=1067780, buffer_cache=210032, free=224140, map=61704), 'net/ens33': Network(label='ens33', recv_bytes=10479, recv_packets=72, recv_errs=0, recv_drop=0, send_bytes=56401, send_packets=102, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=94, bytes_read=1081344, time_spent_read=1.2399999999979627, io_write=59, bytes_write=29179904, time_spent_write=0.5119999999878928), 'net/total': Network(label='ens33', recv_bytes=36833, recv_packets=46, recv_errs=0, recv_drop=0, send_bytes=6153, send_packets=32, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.41117764471058, nice=0.0, system=5.389221556886228, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=94.41117764471058, nice=0.0, system=5.389221556886228, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=94, bytes_read=1081344, time_spent_read=1.2399999999979627, io_write=59, bytes_write=29179904, time_spent_write=0.5119999999878928), 'timestamp': 1546766559.593409, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=3.45, load10=6.17, load15=7.78, running=26, procs=642), 'memory/total': Memory(label='total', total=1501952, used=880880, buffer_cache=235808, free=385264, map=65864), 'net/ens33': Network(label='ens33', recv_bytes=36833, recv_packets=46, recv_errs=0, recv_drop=0, send_bytes=6153, send_packets=32, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=14, bytes_read=69632, time_spent_read=0.5200000000004366, io_write=23, bytes_write=540672, time_spent_write=0.06799999999930151), 'net/total': Network(label='ens33', recv_bytes=11029, recv_packets=67, recv_errs=0, recv_drop=0, send_bytes=24819, send_packets=82, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=92.6, nice=0.0, system=7.2, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'cpu/cpu0': CPU(label='cpu0', user=92.6, nice=0.0, system=7.2, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'disk/sda': Disk(label='sda', io_read=14, bytes_read=69632, time_spent_read=0.5200000000004366, io_write=23, bytes_write=540672, time_spent_write=0.06799999999930151), 'timestamp': 1546766564.207741, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=4.13, load10=8.07, load15=10.9, running=12, procs=724), 'memory/total': Memory(label='total', total=1501952, used=1175308, buffer_cache=205156, free=121488, map=61712), 'net/ens33': Network(label='ens33', recv_bytes=11029, recv_packets=67, recv_errs=0, recv_drop=0, send_bytes=24819, send_packets=82, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.07600000000093132, io_write=130, bytes_write=10416128, time_spent_write=0.27600000001257285), 'net/total': Network(label='ens33', recv_bytes=9855, recv_packets=32, recv_errs=0, recv_drop=0, send_bytes=6615, send_packets=38, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.0, nice=0.0, system=6.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.0, nice=0.0, system=6.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.07600000000093132, io_write=130, bytes_write=10416128, time_spent_write=0.27600000001257285), 'timestamp': 1546766564.633153, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=4.46, load10=6.33, load15=7.82, running=22, procs=647), 'memory/total': Memory(label='total', total=1501952, used=974856, buffer_cache=230752, free=296344, map=65944), 'net/ens33': Network(label='ens33', recv_bytes=9855, recv_packets=32, recv_errs=0, recv_drop=0, send_bytes=6615, send_packets=38, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=11, bytes_read=102400, time_spent_read=0.38800000000264845, io_write=55, bytes_write=835584, time_spent_write=0.06800000002840534), 'net/total': Network(label='ens33', recv_bytes=22545, recv_packets=146, recv_errs=0, recv_drop=0, send_bytes=63938, send_packets=161, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=91.01796407185628, nice=0.0, system=8.782435129740518, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=91.01796407185628, nice=0.0, system=8.782435129740518, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=11, bytes_read=102400, time_spent_read=0.38800000000264845, io_write=55, bytes_write=835584, time_spent_write=0.06800000002840534), 'timestamp': 1546766569.239613, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=4.76, load10=8.14, load15=10.91, running=14, procs=712), 'memory/total': Memory(label='total', total=1501952, used=1226928, buffer_cache=199992, free=75032, map=61692), 'net/ens33': Network(label='ens33', recv_bytes=22545, recv_packets=146, recv_errs=0, recv_drop=0, send_bytes=63938, send_packets=161, send_errs=0, send_drop=0)}
