{'timestamp': 1546762104.67293, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.65, load10=2.79, load15=3.21, running=1, procs=523), 'memory/total': Memory(label='total', total=1501952, used=668864, buffer_cache=166528, free=666560, map=71568)}
{'timestamp': 1546762104.680374, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=8.64, load10=3.45, load15=3.54, running=1, procs=522), 'memory/total': Memory(label='total', total=1501952, used=607508, buffer_cache=136872, free=757572, map=59304)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=122880, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=14024, recv_packets=106, recv_errs=0, recv_drop=0, send_bytes=17510, send_packets=87, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.40918163672654, nice=0.0, system=4.391217564870259, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=95.40918163672654, nice=0.0, system=4.391217564870259, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=122880, time_spent_write=0.0), 'timestamp': 1546762134.644739, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=8.3, load10=3.8, load15=3.65, running=12, procs=711), 'memory/total': Memory(label='total', total=1501952, used=1133948, buffer_cache=140264, free=227740, map=60824), 'net/ens33': Network(label='ens33', recv_bytes=14024, recv_packets=106, recv_errs=0, recv_drop=0, send_bytes=17510, send_packets=87, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=6, bytes_write=573440, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=2184, recv_packets=19, recv_errs=0, recv_drop=0, send_bytes=6514, send_packets=29, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=96.6, nice=0.0, system=3.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=96.6, nice=0.0, system=3.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=6, bytes_write=573440, time_spent_write=0.0), 'timestamp': 1546762139.633152, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=8.59, load10=3.61, load15=3.46, running=16, procs=661), 'memory/total': Memory(label='total', total=1501952, used=1215736, buffer_cache=169028, free=117188, map=73020), 'net/ens33': Network(label='ens33', recv_bytes=2184, recv_packets=19, recv_errs=0, recv_drop=0, send_bytes=6514, send_packets=29, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=2545, bytes_read=29495296, time_spent_read=36.427999999999884, io_write=1277, bytes_write=309645312, time_spent_write=500.6399999999994), 'net/total': Network(label='ens33', recv_bytes=20895, recv_packets=129, recv_errs=0, recv_drop=0, send_bytes=23286, send_packets=146, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=33.16391359593393, nice=0.0, system=16.772554002541295, idle=0.0, iowait=45.7433290978399, irq=0.0, softirq=4.320203303684879), 'cpu/cpu0': CPU(label='cpu0', user=33.16391359593393, nice=0.0, system=16.772554002541295, idle=0.0, iowait=45.7433290978399, irq=0.0, softirq=4.320203303684879), 'disk/sda': Disk(label='sda', io_read=2545, bytes_read=29495296, time_spent_read=36.427999999999884, io_write=1277, bytes_write=309645312, time_spent_write=500.6399999999994), 'timestamp': 1546762143.205837, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=9.59, load10=4.22, load15=3.79, running=1, procs=742), 'memory/total': Memory(label='total', total=1501952, used=1429292, buffer_cache=21524, free=51136, map=18232), 'net/ens33': Network(label='ens33', recv_bytes=20895, recv_packets=129, recv_errs=0, recv_drop=0, send_bytes=23286, send_packets=146, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=48, bytes_write=458752, time_spent_write=0.05200000000331784), 'net/total': Network(label='ens33', recv_bytes=13070, recv_packets=74, recv_errs=0, recv_drop=0, send_bytes=13030, send_packets=101, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=86.25954198473282, nice=0.0, system=13.486005089058525, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2544529262086514), 'cpu/cpu0': CPU(label='cpu0', user=86.25954198473282, nice=0.0, system=13.486005089058525, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2544529262086514), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=48, bytes_write=458752, time_spent_write=0.05200000000331784), 'timestamp': 1546762144.767563, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=9.34, load10=3.85, load15=3.54, running=66, procs=684), 'memory/total': Memory(label='total', total=1501952, used=1318828, buffer_cache=132504, free=50620, map=72368), 'net/ens33': Network(label='ens33', recv_bytes=13070, recv_packets=74, recv_errs=0, recv_drop=0, send_bytes=13030, send_packets=101, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=4703, bytes_read=40218624, time_spent_read=46.676000000001295, io_write=242, bytes_write=107409408, time_spent_write=504.8359999999957), 'net/total': Network(label='ens33', recv_bytes=4631, recv_packets=58, recv_errs=0, recv_drop=0, send_bytes=8372, send_packets=63, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=11.11111111111111, nice=0.0, system=16.91919191919192, idle=0.0, iowait=68.43434343434343, irq=0.0, softirq=3.5353535353535355), 'cpu/cpu0': CPU(label='cpu0', user=11.11111111111111, nice=0.0, system=16.91919191919192, idle=0.0, iowait=68.43434343434343, irq=0.0, softirq=3.5353535353535355), 'disk/sda': Disk(label='sda', io_read=4703, bytes_read=40218624, time_spent_read=46.676000000001295, io_write=242, bytes_write=107409408, time_spent_write=504.8359999999957), 'timestamp': 1546762148.236462, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=11.14, load10=4.64, load15=3.93, running=4, procs=728), 'memory/total': Memory(label='total', total=1501952, used=1407808, buffer_cache=21404, free=72740, map=19016), 'net/ens33': Network(label='ens33', recv_bytes=4631, recv_packets=58, recv_errs=0, recv_drop=0, send_bytes=8372, send_packets=63, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=235, bytes_read=3723264, time_spent_read=52.11199999999917, io_write=44, bytes_write=1974272, time_spent_write=3.7160000000003492), 'net/total': Network(label='ens33', recv_bytes=2849, recv_packets=36, recv_errs=0, recv_drop=0, send_bytes=7973, send_packets=53, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=8.037825059101655, nice=0.0, system=7.328605200945627, idle=0.0, iowait=84.39716312056737, irq=0.0, softirq=0.2364066193853428), 'cpu/cpu0': CPU(label='cpu0', user=8.037825059101655, nice=0.0, system=7.328605200945627, idle=0.0, iowait=84.39716312056737, irq=0.0, softirq=0.2364066193853428), 'disk/sda': Disk(label='sda', io_read=235, bytes_read=3723264, time_spent_read=52.11199999999917, io_write=44, bytes_write=1974272, time_spent_write=3.7160000000003492), 'timestamp': 1546762149.772304, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=11.83, load10=4.58, load15=3.78, running=1, procs=685), 'memory/total': Memory(label='total', total=1501952, used=1403540, buffer_cache=22468, free=75944, map=18988), 'net/ens33': Network(label='ens33', recv_bytes=2849, recv_packets=36, recv_errs=0, recv_drop=0, send_bytes=7973, send_packets=53, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=12974, bytes_read=133849088, time_spent_read=60.35199999999895, io_write=273, bytes_write=132968448, time_spent_write=677.5), 'net/total': Network(label='ens33', recv_bytes=18633, recv_packets=104, recv_errs=0, recv_drop=0, send_bytes=17410, send_packets=124, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=21.136363636363637, nice=0.0, system=39.77272727272727, idle=0.0, iowait=35.45454545454545, irq=0.0, softirq=3.6363636363636362), 'cpu/cpu0': CPU(label='cpu0', user=21.136363636363637, nice=0.0, system=39.77272727272727, idle=0.0, iowait=35.45454545454545, irq=0.0, softirq=3.6363636363636362), 'disk/sda': Disk(label='sda', io_read=12974, bytes_read=133849088, time_spent_read=60.35199999999895, io_write=273, bytes_write=132968448, time_spent_write=677.5), 'timestamp': 1546762153.362584, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=11.69, load10=4.86, load15=4.0, running=9, procs=743), 'memory/total': Memory(label='total', total=1501952, used=1412328, buffer_cache=27340, free=62284, map=23924), 'net/ens33': Network(label='ens33', recv_bytes=18633, recv_packets=104, recv_errs=0, recv_drop=0, send_bytes=17410, send_packets=124, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=466, bytes_read=5328896, time_spent_read=29.11200000000099, io_write=305, bytes_write=129261568, time_spent_write=275.78800000000047), 'net/total': Network(label='ens33', recv_bytes=8158, recv_packets=56, recv_errs=0, recv_drop=0, send_bytes=13809, send_packets=66, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=21.53558052434457, nice=0.0, system=24.53183520599251, idle=0.0, iowait=51.31086142322097, irq=0.0, softirq=2.6217228464419478), 'cpu/cpu0': CPU(label='cpu0', user=21.53558052434457, nice=0.0, system=24.53183520599251, idle=0.0, iowait=51.31086142322097, irq=0.0, softirq=2.6217228464419478), 'disk/sda': Disk(label='sda', io_read=466, bytes_read=5328896, time_spent_read=29.11200000000099, io_write=305, bytes_write=129261568, time_spent_write=275.78800000000047), 'timestamp': 1546762155.24686, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=12.4, load10=4.82, load15=3.86, running=1, procs=699), 'memory/total': Memory(label='total', total=1501952, used=1436080, buffer_cache=14612, free=51260, map=13148), 'net/ens33': Network(label='ens33', recv_bytes=8158, recv_packets=56, recv_errs=0, recv_drop=0, send_bytes=13809, send_packets=66, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=4533, bytes_read=51908608, time_spent_read=27.976000000000568, io_write=155, bytes_write=78426112, time_spent_write=649.9000000000015), 'net/total': Network(label='ens33', recv_bytes=6218, recv_packets=53, recv_errs=0, recv_drop=0, send_bytes=10655, send_packets=61, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=21.866666666666667, nice=0.0, system=19.466666666666665, idle=0.0, iowait=57.6, irq=0.0, softirq=1.0666666666666667), 'cpu/cpu0': CPU(label='cpu0', user=21.866666666666667, nice=0.0, system=19.466666666666665, idle=0.0, iowait=57.6, irq=0.0, softirq=1.0666666666666667), 'disk/sda': Disk(label='sda', io_read=4533, bytes_read=51908608, time_spent_read=27.976000000000568, io_write=155, bytes_write=78426112, time_spent_write=649.9000000000015), 'timestamp': 1546762158.353259, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=12.36, load10=5.11, load15=4.09, running=2, procs=734), 'memory/total': Memory(label='total', total=1501952, used=1398252, buffer_cache=26120, free=77580, map=23208), 'net/ens33': Network(label='ens33', recv_bytes=6218, recv_packets=53, recv_errs=0, recv_drop=0, send_bytes=10655, send_packets=61, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=2800, bytes_read=32034816, time_spent_read=51.03199999999924, io_write=18, bytes_write=7991296, time_spent_write=81.9519999999975), 'net/total': Network(label='ens33', recv_bytes=3297, recv_packets=28, recv_errs=0, recv_drop=0, send_bytes=8368, send_packets=43, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=20.404040404040405, nice=0.0, system=11.515151515151516, idle=0.0, iowait=67.87878787878788, irq=0.0, softirq=0.20202020202020202), 'cpu/cpu0': CPU(label='cpu0', user=20.404040404040405, nice=0.0, system=11.515151515151516, idle=0.0, iowait=67.87878787878788, irq=0.0, softirq=0.20202020202020202), 'disk/sda': Disk(label='sda', io_read=2800, bytes_read=32034816, time_spent_read=51.03199999999924, io_write=18, bytes_write=7991296, time_spent_write=81.9519999999975), 'timestamp': 1546762163.343658, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=12.41, load10=5.24, load15=4.14, running=2, procs=732), 'memory/total': Memory(label='total', total=1501952, used=1413516, buffer_cache=29144, free=59292, map=24612), 'net/ens33': Network(label='ens33', recv_bytes=3297, recv_packets=28, recv_errs=0, recv_drop=0, send_bytes=8368, send_packets=43, send_errs=0, send_drop=0)}
